left wheel speed,right wheel speed,gyro x,gyro y,gyro z,pose x,pose y,pose z,q0,q1,q2,q3,angle_z,origin_id,is_accurate,wheels: up key,wheels: down key,wheels: left key,wheels: right key,head: up key,head: down key,stop,timestamp
0.0,0.0,-7.703190203756094e-05,0.00047864438965916634,6.672254676232114e-05,0.0,0.0,0.0,0.9988693594932556,0.0,0.0,0.04753930866718292,0.09511446573086907,23,True,0,0,0,0,0,0,0,14:33:24.480447
0.0,0.0,0.0004534717882052064,-0.0008492707274854183,0.0005841913516633213,0.0,0.0,0.0,0.9988681674003601,0.0,0.0,0.04756452515721321,0.09516495661798406,23,True,0,0,0,0,0,0,0,14:33:24.586632
0.0,0.0,0.0004530875012278557,0.0007504508830606937,5.078889080323279e-05,0.0,0.0,0.0,0.9988656044006348,0.0,0.0,0.047618791460990906,0.09527361448425653,23,True,0,0,0,0,0,0,0,14:33:24.694632
0.0,0.0,-0.0006147762760519981,-4.862155765295029e-05,5.243965642875992e-05,0.0,0.0,0.0,0.9988659620285034,0.0,0.0,0.04761051759123802,0.09525704446821881,23,True,0,0,0,0,0,0,0,14:33:24.800557
0.0,0.0,0.00018027995247393847,0.0004808804951608181,5.327994949766435e-05,0.0,0.0,0.0,0.9988662004470825,0.0,0.0,0.04760628938674927,0.0952485819562196,23,True,0,0,0,0,0,0,0,14:33:24.906660
0.0,0.0,0.00018187903333455324,0.00021100230515003204,-0.0002061028644675389,0.0,0.0,0.0,0.998866617679596,0.0,0.0,0.04759703204035759,0.09523004398299482,23,True,0,0,0,1,0,0,0,14:33:25.013811
0.0,0.0,-0.00035161501727998257,-5.6597404181957245e-05,0.000582577136810869,0.0,0.0,0.0,0.9988676905632019,0.0,0.0,0.04757506400346756,0.0951860605730808,23,True,0,0,0,1,0,0,0,14:33:25.120965
0.0,0.0,-0.0006176712922751904,0.001805796753615141,-0.0046427687630057335,0.06078529357910156,0.005527377128601074,0.0,0.9988680481910706,0.0,0.0,0.047567084431648254,0.09517008121922965,23,True,0,0,0,1,0,0,0,14:33:25.230197
19.0,-15.0,-0.02376457117497921,-0.023469552397727966,-0.3722458481788635,0.21700286865234375,-0.29312002658843994,0.0,0.9992558360099792,0.0,0.0,0.0385722778737545,0.07716369989646724,23,True,0,0,0,1,0,0,0,14:33:25.339776
26.0,-25.0,-0.017645275220274925,0.032402269542217255,-0.520906925201416,0.26000213623046875,-1.3015339374542236,0.0,0.9999231696128845,0.0,0.0,0.012393633835017681,0.024787901623736435,23,True,0,0,0,1,0,0,0,14:33:25.446534
28.0,-29.0,-0.026159077882766724,0.03000776469707489,-0.58831387758255,0.10840606689453125,-2.985072612762451,0.0,0.9995523691177368,0.0,0.0,-0.029916679486632347,-0.05984228618569941,23,True,0,0,0,1,0,0,0,14:33:25.553425
30.0,-32.0,0.017740212380886078,0.04331057891249657,-0.7267855405807495,0.009281158447265625,-4.64046573638916,0.0,0.9974530339241028,0.0,0.0,-0.07132673263549805,-0.14277470543081214,23,True,0,0,0,1,0,0,0,14:33:25.660648
32.0,-33.0,-0.022966401651501656,-0.017616312950849533,-0.6818476319313049,-0.18903160095214844,-5.421550750732422,0.0,0.9958239793777466,0.0,0.0,-0.09129425138235092,-0.1828430971550183,23,True,0,0,0,1,0,0,0,14:33:25.768115
35.0,-34.0,0.031309086829423904,0.01244804821908474,-0.7474256753921509,-0.6177482604980469,-7.027094841003418,0.0,0.9911766052246094,0.0,0.0,-0.13254807889461517,-0.2658786124329294,23,True,0,0,0,1,0,0,0,14:33:25.875657
35.0,-35.0,-0.018975555896759033,0.020695794373750687,-0.7954988479614258,-1.0652904510498047,-8.272886276245117,0.0,0.9862523078918457,0.0,0.0,-0.16524653136730194,-0.3320159527626986,23,True,0,0,0,0,0,0,0,14:33:25.983220
